Payment Charge Table (NGN)
Assumption: Paytech 20% is added first; Paystack 1.5% is then applied on (Base + Paytech charge).

Base       Paytech(20%)    Subtotal        Paystack(1.5%)    Final Total 
---------- --------------- --------------- ----------------- ------------
1000.00    200.00          1200.00         18.00             1218.00     
1100.00    220.00          1320.00         19.80             1339.80     
1200.00    240.00          1440.00         21.60             1461.60     
1300.00    260.00          1560.00         23.40             1583.40     
1400.00    280.00          1680.00         25.20             1705.20     
1500.00    300.00          1800.00         27.00             1827.00     
1600.00    320.00          1920.00         28.80             1948.80     
1700.00    340.00          2040.00         30.60             2070.60     
1800.00    360.00          2160.00         32.40             2192.40     
1900.00    380.00          2280.00         34.20             2314.20     
2000.00    400.00          2400.00         36.00             2436.00     
2100.00    420.00          2520.00         37.80             2557.80     
2200.00    440.00          2640.00         39.60             2679.60     
2300.00    460.00          2760.00         41.40             2801.40     
2400.00    480.00          2880.00         43.20             2923.20     
2500.00    500.00          3000.00         45.00             3045.00     
2600.00    520.00          3120.00         46.80             3166.80     
2700.00    540.00          3240.00         48.60             3288.60     
2800.00    560.00          3360.00         50.40             3410.40     
2900.00    580.00          3480.00         52.20             3532.20     
3000.00    600.00          3600.00         54.00             3654.00     
3100.00    620.00          3720.00         55.80             3775.80     
3200.00    640.00          3840.00         57.60             3897.60     
3300.00    660.00          3960.00         59.40             4019.40     
3400.00    680.00          4080.00         61.20             4141.20     
3500.00    700.00          4200.00         63.00             4263.00     
3600.00    720.00          4320.00         64.80             4384.80     
3700.00    740.00          4440.00         66.60             4506.60     
3800.00    760.00          4560.00         68.40             4628.40     
3900.00    780.00          4680.00         70.20             4750.20     
4000.00    800.00          4800.00         72.00             4872.00     
4100.00    820.00          4920.00         73.80             4993.80     
4200.00    840.00          5040.00         75.60             5115.60     
4300.00    860.00          5160.00         77.40             5237.40     
4400.00    880.00          5280.00         79.20             5359.20     
4500.00    900.00          5400.00         81.00             5481.00     
4600.00    920.00          5520.00         82.80             5602.80     
4700.00    940.00          5640.00         84.60             5724.60     
4800.00    960.00          5760.00         86.40             5846.40     
4900.00    980.00          5880.00         88.20             5968.20     
5000.00    1000.00         6000.00         90.00             6090.00     
5100.00    1020.00         6120.00         91.80             6211.80     
5200.00    1040.00         6240.00         93.60             6333.60     
5300.00    1060.00         6360.00         95.40             6455.40     
5400.00    1080.00         6480.00         97.20             6577.20     
5500.00    1100.00         6600.00         99.00             6699.00     
5600.00    1120.00         6720.00         100.80            6820.80     
5700.00    1140.00         6840.00         102.60            6942.60     
5800.00    1160.00         6960.00         104.40            7064.40     
5900.00    1180.00         7080.00         106.20            7186.20     
6000.00    1200.00         7200.00         108.00            7308.00     
6100.00    1220.00         7320.00         109.80            7429.80     
6200.00    1240.00         7440.00         111.60            7551.60     
6300.00    1260.00         7560.00         113.40            7673.40     
6400.00    1280.00         7680.00         115.20            7795.20     
6500.00    1300.00         7800.00         117.00            7917.00     
6600.00    1320.00         7920.00         118.80            8038.80     
6700.00    1340.00         8040.00         120.60            8160.60     
6800.00    1360.00         8160.00         122.40            8282.40     
6900.00    1380.00         8280.00         124.20            8404.20     
7000.00    1400.00         8400.00         126.00            8526.00     
7100.00    1420.00         8520.00         127.80            8647.80     
